latitude,longitude,building_density,road_density_km,industrial_presence,green_space_fraction
-0.22,-78.5,8460,710.3546855643859,6,4528
-0.2167,-78.5,9098,739.0172220726099,4,5382
-0.14,98.19,3,4.937921965326617,0,0
0.3156,32.5656,29510,335.7223389883635,6,2837
0.32,32.57,24686,363.970925618898,3,3235
0.38,9.45,6884,113.32647380105179,4,17
0.3833,9.45,8290,127.67318315413512,4,18
1.29,103.86,4945,662.7464324104376,2,772
1.2931,103.8558,6589,720.1583029649677,3,811
2.0667,45.3667,60073,543.9338318372561,1,0
2.07,45.37,56332,545.5798260948718,1,0
3.1667,101.7,7698,714.8383528207363,13,1357
3.17,101.7,7518,678.3044849692541,14,1619
3.48,73.53,230,2.445002959634568,0,0
3.75,8.78,2768,234.89855902078835,3,10
3.75,8.7833,2552,242.44622632035637,3,11
3.87,11.52,21008,320.3901518627327,5,14716
4.05,9.7,19223,264.2234964948158,32,10186
4.0503,9.7,19231,261.93638326768854,34,10086
4.17,73.5,1004,80.26140426520412,7,156
4.3667,18.5833,7960,144.84107091099338,0,2309
4.37,18.58,8319,149.7710968823619,0,2951
4.6,-74.08,6167,740.3529809499681,21,2010
4.63,118.37,23,31.209088978902624,0,0
4.88,114.93,2841,241.88043668277936,0,7
4.8833,114.9333,2887,257.2513104237289,0,7
5.47,10.42,30915,298.42549754106915,13,370
5.55,-0.22,38738,327.9632929295646,7,672
5.55,-0.2167,38936,321.4934527864122,7,755
5.83,-55.17,19100,306.6929437393375,4,49
5.8333,-55.1667,19651,282.8951530443087,4,47
6.13,1.22,28682,285.74459026038153,1,1253
6.31,-10.8,9843,85.83942814912808,4,14
6.3106,-10.8047,9669,79.57846003009169,4,14
6.43,-70.92,0,0.0,0,0
6.48,2.62,19765,307.5954915163363,0,952
6.4833,2.6167,21833,331.3303720959926,0,911
6.8,-58.17,11515,206.51886755148726,8,28
6.8,-58.1667,12242,229.91957698463048,8,32
6.8167,-5.2833,14060,265.86532171340724,5,625
6.88,73.1,250,24.48704200563936,0,0
6.8833,73.1,250,24.48704200563936,0,0
6.9167,158.15,807,55.85491375140017,1,33
6.92,158.15,764,42.481964205756405,1,33
6.93,79.85,4359,319.7066216956033,4,2836
6.9319,79.8478,3845,299.2202145802718,4,2193
7.1,171.38,1701,25.49155591077252,2,15
7.1,171.3833,1654,25.17645754210643,2,15
7.3167,13.5833,38957,303.08675017364953,0,109
7.32,13.58,34452,269.807347673433,0,94
7.33,134.48,1056,39.75539729586942,0,8
7.3333,134.4833,1279,44.122972554961024,0,6
7.35,134.45,628,26.04341096686077,1,2
7.3575,134.5578,429,23.017318293334153,1,6
7.36,134.51,469,24.725330183703225,3,2
7.36,134.56,386,28.10351753550199,1,6
7.5,134.57,0,1.3960882330308502,1,0
8.49,-13.2342,36730,174.1681795011193,4,320
8.49,-13.23,36568,191.9545309347943,7,350
8.9667,-79.5333,4763,378.72912831503197,18,1176
8.97,-79.53,4977,364.04627254542845,12,1002
9.03,38.7,3619,349.33398268241706,0,2
9.0333,38.7,4540,351.4826050275385,0,2
9.1758,7.1808,12847,180.0790693809084,0,1
9.18,7.18,0,179.6511038783434,0,1
9.5092,-13.7122,4158,98.35962170208873,8,11
9.51,-13.71,4181,99.5600922943323,8,11
9.8,-84.17,160,90.09803204133986,0,3
9.8,-84.1667,244,96.4441067544482,0,3
9.9333,-84.0833,8580,400.4320430391403,30,1665
9.97,-84.08,1098,290.78416488120416,13,57
10.5,-66.92,1828,446.87120050695296,5,325
10.5,-66.9167,1968,441.9337422774047,4,328
10.65,-61.52,1608,208.97978345960226,3,59
10.65,-61.5167,1738,226.10500613038474,5,59
10.75,106.67,5755,576.1977030247986,7,107
11.2667,108.2333,2,43.88211653182076,0,0
11.55,104.9167,7788,462.58074494414774,1,329
11.55,104.92,7764,446.66831839387794,1,345
11.595,43.1481,16715,242.08735867728632,18,8
11.6,43.15,12099,196.5468109946668,10,25
11.85,-15.5833,6610,127.96124520637117,4,386
11.85,-15.58,5424,107.79640156813454,4,385
12.05,-61.75,6476,118.53682467148491,0,5
12.11,15.05,23811,310.2793418916848,6,1035
